2022-03-07 17:21:39,548 - movie - INFO -가상 브라우저 실행...
2022-03-07 17:21:39,875 - movie - INFO -네이버 영화 랭킹 1 페이지 이동...
2022-03-07 17:21:39,894 - movie - INFO -1. 클라우스영화 제목 클릭... :
2022-03-07 17:21:40,847 - movie - INFO -영화 평점 클릭...
2022-03-07 17:21:40,866 - movie - INFO -영화 제목 수집 : 클라우스
2022-03-07 17:21:40,884 - movie - INFO -iframe 전환
2022-03-07 17:21:40,947 - movie - INFO -1,클라우스
2022-03-07 17:21:40,975 - movie - INFO -2,클라우스
2022-03-07 17:21:41,004 - movie - INFO -3,클라우스
2022-03-07 17:21:41,034 - movie - INFO -4,클라우스
2022-03-07 17:21:41,064 - movie - INFO -5,클라우스
2022-03-07 17:21:41,094 - movie - INFO -6,클라우스
2022-03-07 17:21:41,124 - movie - INFO -7,클라우스
2022-03-07 17:21:41,153 - movie - INFO -8,클라우스
2022-03-07 17:21:41,182 - movie - INFO -9,클라우스
2022-03-07 17:21:41,223 - movie - INFO -10,클라우스
2022-03-07 17:21:41,356 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:41,392 - movie - INFO -11,클라우스
2022-03-07 17:21:41,421 - movie - INFO -12,클라우스
2022-03-07 17:21:41,450 - movie - INFO -13,클라우스
2022-03-07 17:21:41,480 - movie - INFO -14,클라우스
2022-03-07 17:21:41,510 - movie - INFO -15,클라우스
2022-03-07 17:21:41,540 - movie - INFO -16,클라우스
2022-03-07 17:21:41,571 - movie - INFO -17,클라우스
2022-03-07 17:21:41,601 - movie - INFO -18,클라우스
2022-03-07 17:21:41,631 - movie - INFO -19,클라우스
2022-03-07 17:21:41,661 - movie - INFO -20,클라우스
2022-03-07 17:21:41,804 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:41,845 - movie - INFO -21,클라우스
2022-03-07 17:21:41,876 - movie - INFO -22,클라우스
2022-03-07 17:21:41,905 - movie - INFO -23,클라우스
2022-03-07 17:21:41,936 - movie - INFO -24,클라우스
2022-03-07 17:21:41,966 - movie - INFO -25,클라우스
2022-03-07 17:21:41,997 - movie - INFO -26,클라우스
2022-03-07 17:21:42,028 - movie - INFO -27,클라우스
2022-03-07 17:21:42,057 - movie - INFO -28,클라우스
2022-03-07 17:21:42,088 - movie - INFO -29,클라우스
2022-03-07 17:21:42,118 - movie - INFO -30,클라우스
2022-03-07 17:21:42,252 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:42,287 - movie - INFO -31,클라우스
2022-03-07 17:21:42,316 - movie - INFO -32,클라우스
2022-03-07 17:21:42,345 - movie - INFO -33,클라우스
2022-03-07 17:21:42,375 - movie - INFO -34,클라우스
2022-03-07 17:21:42,403 - movie - INFO -35,클라우스
2022-03-07 17:21:42,431 - movie - INFO -36,클라우스
2022-03-07 17:21:42,460 - movie - INFO -37,클라우스
2022-03-07 17:21:42,487 - movie - INFO -38,클라우스
2022-03-07 17:21:42,516 - movie - INFO -39,클라우스
2022-03-07 17:21:42,544 - movie - INFO -40,클라우스
2022-03-07 17:21:42,678 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:42,714 - movie - INFO -41,클라우스
2022-03-07 17:21:42,744 - movie - INFO -42,클라우스
2022-03-07 17:21:42,774 - movie - INFO -43,클라우스
2022-03-07 17:21:42,803 - movie - INFO -44,클라우스
2022-03-07 17:21:42,832 - movie - INFO -45,클라우스
2022-03-07 17:21:42,864 - movie - INFO -46,클라우스
2022-03-07 17:21:42,893 - movie - INFO -47,클라우스
2022-03-07 17:21:42,922 - movie - INFO -48,클라우스
2022-03-07 17:21:42,952 - movie - INFO -49,클라우스
2022-03-07 17:21:42,981 - movie - INFO -50,클라우스
2022-03-07 17:21:43,114 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:43,149 - movie - INFO -51,클라우스
2022-03-07 17:21:43,180 - movie - INFO -52,클라우스
2022-03-07 17:21:43,209 - movie - INFO -53,클라우스
2022-03-07 17:21:43,238 - movie - INFO -54,클라우스
2022-03-07 17:21:43,268 - movie - INFO -55,클라우스
2022-03-07 17:21:43,297 - movie - INFO -56,클라우스
